timestamp,space,event_title_eng,event_desc_eng,event_title_de,event_desc_de,weekday,start_time,end_time,fb_url,url,paid
8/29/2019 17:40:13,Happy Pigeons Coliving & Coworking,Free Coworking and Free Beer,“Free Coworking and beer” at Happy Pigeons.,Free Coworking and Free Beer,"“Free Coworking and beer” bei Happy Pigeons.


Kommt vorbei, arbeitet eine Weile bei uns und/ oder genießt ein kühles Bier oder einen Kaffee während einer Tischtennis-Pause mit anderen Pigeons. Zur Erholung danach könnt ihr dann ein Nickerchen in unserer ""Pigeons-Power-Station"" machen. 

Bis Freitag.",Friday,9:00,17:00,https://www.facebook.com/events/458742981344572/,https://www.facebook.com/events/458742981344572/,No
8/30/2019 14:25:10,betahaus Neukölln,betabreakfast | Neukölln,"Connect with Berlin’s creative startup community over breakfast!

Want to meet our creatives in betahaus | Neukölln? Enjoy a cup of coffee and veggie breakfast, while getting to know likeminded entrepreneurs, startups and creatives! betabreakfast is our way of helping you stay up-to-date about the Berlin startup scene. We serve a buffet breakfast in our Club Lounge and watch two to three startups and creatives pitch their ideas. Afterwards, you can ask questions, network with other members of the betahaus’ coworking community, and take a tour through our space.

THIS WEEK | betabreakfast w/ Tiden – Vegan Surf & Climb Equipment, Merlaid – Unique Meditation Pillows",betabreakfast | Neukölln,Event findet auf Englisch statt,Tuesday,9:30,11:00,https://www.meetup.com/betabreakfast-Neukolln/events/264398750/,https://www.betahaus.com/event/betabreakfast-neukoelln-september-2019,No
8/30/2019 14:27:11,betahaus Neukölln,Fashion: How to be a Conscious Consumer?,"What do you need to focus on as you are doing conscious consumerism?
To be conscious and sustainable when consuming… it’s the new way to be! But what exactly does it mean to be conscious and how do you recognise fair clothes? 
From apple-leather to Pinatex, there is a lot to know and so many exciting new methods and ways to produce clothes that are not only good for you, but also for others and the planet. 

Once you start to inform yourself, sometimes all this information can turn into a infobesity, but! Don’t. Freak. Out! We've got you back! 

On September 11th, fineyellow is welcoming you to join their second workshop on 'How to be a Conscious Consumer?' and learn more about shifting toward a more conscious consumption model.

About the workshop holder:
Assunta Crux is the founder of fineyellow, a marketplace for fair and sustainable fashion. Before working on making sustainable fashion available to a broader target group, Assunta worked as a business developer building and scaling startups in different industries. She is a female entrepreneur and all about a lifestyle as sustainable as possible. Let her show you ""hands-on"" what sustainable fashion means! 

Visiting this workshop is your smooth and easy start into becoming a conscious consumer. Come as a beginner, leave as a pro!

‍This event will take place at betahaus | Neukölln, Harzer Str. 39",Fashion: How to be a Conscious Consumer?,Event findet auf Englisch statt,Wednesday,19:00,21:30,https://www.facebook.com/events/394448727935686/,https://www.betahaus.com/event/how-to-be-a-conscious-consumer,No
8/30/2019 14:39:57,Ahoy!,Yoga Class with Panch Nishan,Free class for all levels. Please RSVP at info@ahoyberlin.com.,Yoga mit Panch Nishan,Yoga für alle Niveaus. Wir bitten um Voranmeldung auf info@ahoyberlin.com.,Tuesday,18:15,19:30,https://www.facebook.com/events/425523951422814/,,No
8/30/2019 15:31:36,betahaus Kreuzberg,betabreakfast | Kreuzberg feat. CIEE eLab,"Connect with Berlin’s startup community over breakfast

Enjoy a cup of coffee and a meal while getting to know likeminded entrepreneurs, startups and creatives in the city! betabreakfast is our way of helping you stay up-to-date about the Berlin startup scene. Every Thursday from 9:30-10:30, we serve a buffet breakfast in our InnoSpace and watch two to three startups pitch their ideas. Afterwards, you can ask pitching startups questions, network with other members of the betahaus’ coworking community, and take a tour through our space.

THIS WEEK | betabreakfast w/ HealthPhy – the new app for pain relieve the pain, Kera – cannabis based pain medication, and Aleksey – optimizing sales across online marketplaces.",betabreakfast | Kreuzberg feat. CIEE eLab,Event findet auf Englisch statt,Thursday,9:30,11:00,https://www.meetup.com/betabreakfast-Kreuzberg/events/264398857/,https://www.betahaus.com/event/betabreakfast-september-2019,No
8/30/2019 16:00:30,Ahoy!,Free Photo Shooting for Freelancers with Malt & Ahoy!,"Our photographer will take a photo of you and we’ll help you create your free Malt-profile.
Please book your time slot here: https://malt-photoshooting-berlin-1-6-8.youcanbook.me",Kostenlose Fotoshooting mit Malt & Ahoy!,"Unser Fotograf wird ein professionelles Profilfoto von dir machen. Wir helfen dir gerne auch ein Malt-Profil zu erstellen, um deine Sichtbarkeit über die Suchmaschine zu erhöhen. Die Fotos werden dir im Nachgang kostenlos und ohne Branding zur Verfügung gestellt. 

Zur Reservierung geht es hier entlang: https://malt-photoshooting-berlin-1-6-8.youcanbook.me",Wednesday,14:30,16:00,https://www.facebook.com/events/413417129289608/,,No
8/30/2019 16:59:54,TUECHTIG – Raum für Inklusion,Ask Ulrike! – Everything you always wanted to know about a Soziallotsin  ,"(German-language event) 

An event in cooperation with In-Gesellsellschaft e.V., hosted by Renate Müller.
When and where? On September 12, 2019 5:00 pm at TUECHTIG, the first inclusive coworking space.

Ulrike Gehn (32 years):
„Life is colourful like a rainbow, and inclusion is the rainbow’s colour.”
 
Ulrike was born in a small town on the river Elbe. The electric wheelchair is her trusted companion. She has been invested in the issue of inclusion ever since her days in school.
 
Following her office communications clerk apprenticeship and publishing a literature blog called “Leseleben”, Ulrike took up advanced training as an inclusion counselor at Kopf, Hand + Fuss in 2018.
 
Today, Ulrike is a certified inclusion counselor and first recipient of the Solidarisches Grundeinkommen, a pilot projekt of the state of Berlin, initiated by Berlin’s mayor Michael Müller in July 2019. She has worked as a Soziallotsin für Kopf, Hand + Fuss since August 2019.

On Thursday, September 12, Ulrike will talk about her experience as an inclusion counselor and Soziallotsin for Kopf, Hand + Fuss at TUECHTIG, the first inclusive workspace.",Frag Ulrike! – Was du schon immer über eine Soziallotsin wissen wolltest  ,"(Event findet auf Deutsch statt)

Eine Veranstaltung in Kooperation mit In-Gesellsellschaft e.V., moderiert von Renate Müller.

Wann und wo? Am 12.09.2019 um 17:00 Uhr. Mit einer Führung durch den inklusiven Coworkingspace TUECHTIG.
 
Ulrike Gehn (32 Jahre):
„Das Leben ist BUNT wie ein Regenbogen und Inklusion ist die Farbe des Regenbogens.“
Ulrike wurde in einem Örtchen an der Elbe geboren. Der E-Rollstuhl ist seit jeher ihr treuer Begleiter. Schon in der Schulzeit sammelte sie erste Erfahrungen mit Inklusion. 

Nach ihrer Ausbildung zur Kauffrau für Bürokommunikation und Betreiberin des ehemaligen Literaturblogs ’das Leseleben' begann sie im September 2018 eine Weiterbildung zur Beraterin für Inklusion bei Kopf, Hand + Fuss.

Ulrike ist heute Inklusionsberaterin und die erste Empfängerin des Solidarischen Grundeinkommens, eines Pilotprojekts des Landes Berlin. Dieses wurde vom Regierenden Bürgermeister Michael Müller im Juli 2019 ins Leben gerufen.

Als Soziallotsin verstärkt sie seit Anfang August 2019 das Team von Kopf, Hand + Fuss. 

Am Donnerstag, den 12. September, wird Ulrike von ihrer Arbeit als Inklusionsberaterin und Soziallotsin im inklusiven Coworking-Space TUECHTIG berichten.",Thursday,17:00,18:30,https://www.facebook.com/tuechtig030/?epa=SEARCH_BOX,https://tuechtig-berlin.de/events/,No
8/30/2019 17:05:34,TUECHTIG – Raum für Inklusion,Ask Duygu and Gunnar: Everything you always wanted to know about Leichte Sprache,"(German-language event) 

An event in cooperation with In-Gesellsellschaft e.V., hosted by Renate Müller.
On September 10, 2019 11:00 am at TUECHTIG, the first inclusive coworking space.

Do you know the difference between Einfache Sprache, Leichte Sprache and Standardsprache?
Duygu Özen and Gunnar Friese will talk about their experiences with this topic. Gunnar is an expert on the language variety Leichte Sprache and Duygu checks the texts for intelligibility.
They will talk to Renate Müller (In-Gesellschaft e.V.) about related challenges and hurdles. Following this, the participants have the opportunity to translate a text into Leichte Sprache. And of course, the text will be proofread by Duygu.","Frag doch mal Duygu und Gunnar! – Alles, was du schon immer über Leichte Sprache wissen wolltest","(Event findet auf Deutsch statt)

Eine Veranstaltung in Kooperation mit In-Gesellschaft e.V., moderiert von Renate Müller.
 
Wann und Wo? Am 10.09.2019 um 11:00 Uhr, im ersten inklusiven Coworking-Space TUECHTIG, Berlin.

Wisst ihr, was die Unterschiede zwischen Einfacher Sprache, Leichter Sprache und Standardsprache sind?

Am 10.09.2019 um 11 Uhr klären euch Duygu Özen und Gunnar Friese darüber auf. Gunnar ist Experte für die Sprachvarietät Leichte Sprache, und Duygu prüft die Texte auf ihre Verständlichkeit.

Was dabei zu beachten ist und wo es Hürden gibt, davon berichten die beiden Experten im Interview mit Renate Müller vom Verein In-Gesellschaft.

Im Anschluss haben die Teilnehmer*Innen die Möglichkeit, einen regulären Text in Leichte Sprache zu übertragen. Natürlich wird der Text von Duygu geprüft.
",Tuesday,11:00,12:30,https://www.facebook.com/tuechtig030/?epa=SEARCH_BOX,https://tuechtig-berlin.de/events/,No
8/30/2019 23:19:44,CoWomen,Club Breakfast: The most motivating Monday in town!,"How do you like Mondays? Do you jump out of bed ready and excited for the week – OR – (like most of us) do you feel a bit nervous or anxious to get the week started?

Well, CoWomen and Life & Business Coach Chrissi are on a mission: We want you to fall in LOVE with Mondays! Because you’re so freaking excited to start a fresh new week and do the things you love. ✨

Easier said than done? Not anymore! Come and join us at the #MotivationalMonday and together we’ll kick off the week with a mix of motivation, actionable planning, share & support – and of course a yummy, healthy breakfast!

Imagine yourself waking up with excitement (flawless!), because you can’t wait to start the week. You’ll leave energized, with a clear action plan for the upcoming week, ready to kickass.

Join us and …

•  Get motivated, be inspired, feel energized.
•  Create your weekly plan with a proven method, and see your productivity skyrocket.
•  Get rid of any struggle that might hold you back in our Share & Support Round.
•  Be elevated and celebrated for doing your best.
•  Enjoy a healthy breakfast in great company.

If you ever felt yourself struggling to get out of bed on Mondays, creating your weekly plan (even though you know you should), or feeling unmotivated – this is for you! If you want, bring your own journal to keep track of your progresses and breakthroughs, the rest in on us. Breakfast starts at 8:30, please be on time 😉

About Chrissi: Christine Muench is a Life & Business Coach and helps hundreds of women to find more purpose in their lives and careers. With her guiding principle “Own your Life, Change the World” she’s building an international company that supports women in actively designing their lives. You can follow her on Instagram or Facebook @christineawsm where she shares actionable tips, insights, and motivation about creating a life you love.

The event is free for all CoWomen. Log in via the members area and register.",Club Breakfast: The most motivating Monday in town!,"How do you like Mondays? Do you jump out of bed ready and excited for the week – OR – (like most of us) do you feel a bit nervous or anxious to get the week started?

Well, CoWomen and Life & Business Coach Chrissi are on a mission: We want you to fall in LOVE with Mondays! Because you’re so freaking excited to start a fresh new week and do the things you love. ✨

Easier said than done? Not anymore! Come and join us at the #MotivationalMonday and together we’ll kick off the week with a mix of motivation, actionable planning, share & support – and of course a yummy, healthy breakfast!

Imagine yourself waking up with excitement (flawless!), because you can’t wait to start the week. You’ll leave energized, with a clear action plan for the upcoming week, ready to kickass.

Join us and …

•  Get motivated, be inspired, feel energized
•  Create your weekly plan with a proven method, and see your productivity skyrocket
•  Get rid of any struggle that might hold you back in our Share & Support Round
•  Be elevated and celebrated for doing your best
•  Enjoy a healthy breakfast in great company

If you ever felt yourself struggling to get out of bed on Mondays, creating your weekly plan (even though you know you should), or feeling unmotivated – this is for you! If you want, bring your own journal to keep track of your progresses and breakthroughs, the rest in on us. Breakfast starts at 8:30, please be on time 😉

About Chrissi: Christine Muench is a Life & Business Coach and is helping hundreds of women to find more purpose in their lives and careers. With her guiding principle “Own your Life, Change the World” she’s building an international company that supports women in actively designing their lives. You can follow her on Instagram or Facebook @christineawsm where she shares actionable tips, insights, and motivation about creating a life you love.

The event is free for all CoWomen. Log in via the members area and register.",Monday,8:30,10:00,https://www.facebook.com/events/2372962242919382/?event_time_id=2372962246252715,https://cowomen.com/de/blog/calendar/motivating-breakfast/,Yes
8/30/2019 23:43:59,CoWomen,Community Lunch – Midday inspiration is served,"One on the most difficult things to achieve when working by/for yourself is self-care. When everything seems to be so urgent and pressing around us, it’s easy to forget how to stop and enjoy a healthy, relaxing lunch in good company. 🍜
At CoWOmen we lunch together! And we will offer some lunch&learn-sessions every now and then.

So let’s do this together !

Join us on the sunny tables of Alte Münze or in our beautiful headquarters ( ☔ ) on Tuesdays and Wednesdays.

Bring your own lunch* and get ready to chat, network, relax, or simply eat in the company of other amazing women.

+ Non-members are welcome to join us and discover our community.

* BYO lunch or simply buy one of the delicious lunch options of “The Greens”, also located in Alte Münze.",Community Lunch – Inspiration zum Mittag,"Eine der größten Herausforderungen, wenn man alleine bzw. selbstständig arbeitet, ist, auf sich selbst zu achten. Wenn immer alles so dringend und drückend ist um uns herum, vergessen wir oftmals ein Pause zu machen und ein gesundes, entspanntes Essen in toller Gesellschaft. 🍜 Bei uns im Space machen wir gemeinsam Pause! Ab und an bieten wir dazu zusätzlich eine spezielle Lunch&Learn-Session an!

Also lasst uns gemeinsam eine inspirierende Pause machen!

Sei immer Dienstags und Mittwochs dabei an den sonnigen Tischen der Alten Münze oder in unseren schönen Räumen ( ☔ ).

Bring dein eigenes Lunch mit* und mach dich bereit für Austausch, Netzwerken, Entspannung oder einfach nur ein gutes Essen zusammen mit anderen tollen Frauen.

 

+ Nicht-Mitglieder sind willkommen.

* BYO lunch = bring your own lunch oder kauf ein leckeres Mittagessen im “The Greens” in der Alten Münze oder auf deinem Weg dort hin.",Tuesday,12:30,13:30,https://www.facebook.com/events/524822411587149,https://cowomen.com/blog/calendar/lunch/,No
8/30/2019 23:46:41,CoWomen,Community Lunch – Midday inspiration is served,"One on the most difficult things to achieve when working by/for yourself is self-care. When everything seems to be so urgent and pressing around us, it’s easy to forget how to stop and enjoy a healthy, relaxing lunch in good company. 🍜
At CoWOmen we lunch together! And we will offer some lunch&learn-sessions every now and then.

So let’s do this together !

Join us on the sunny tables of Alte Münze or in our beautiful headquarters ( ☔ ) on Tuesdays and Wednesdays.

Bring your own lunch* and get ready to chat, network, relax, or simply eat in the company of other amazing women.

+ Non-members are welcome to join us and discover our community.

* BYO lunch or simply buy one of the delicious lunch options of “The Greens”, also located in Alte Münze.",Community Lunch – Inspiration zum Mittag,"Eine der größten Herausforderungen, wenn man alleine bzw. selbstständig arbeitet, ist, auf sich selbst zu achten. Wenn immer alles so dringend und drückend ist um uns herum, vergessen wir oftmals ein Pause zu machen und ein gesundes, entspanntes Essen in toller Gesellschaft. 🍜 Bei uns im Space machen wir gemeinsam Pause! Ab und an bieten wir dazu zusätzlich eine spezielle Lunch&Learn-Session an!

Also lasst uns gemeinsam eine inspirierende Pause machen!

Sei immer Dienstags und Mittwochs dabei an den sonnigen Tischen der Alten Münze oder in unseren schönen Räumen ( ☔ ).

Bring dein eigenes Lunch mit* und mach dich bereit für Austausch, Netzwerken, Entspannung oder einfach nur ein gutes Essen zusammen mit anderen tollen Frauen.

+ Nicht-Mitglieder sind willkommen.

* BYO lunch = bring your own lunch oder kauf ein leckeres Mittagessen im “The Greens” in der Alten Münze oder auf deinem Weg dort hin.",Wednesday,12:30,13:30,https://www.facebook.com/events/2306137906314661/?event_time_id=2306137909647994,https://cowomen.com/de/blog/calendar/lunch/,No
8/30/2019 23:51:11,CoWomen,KonMari™ your life! Tidy up your life!,"Marie Kondo is known as the worlds most famous decluttering consultant. Her book “The Life-Changing Magic of Tidying Up” has been published in more than 30 countries and became an international bestseller.

Business Psychologist Anika Schwertfeger is Berlin’s first officially certified KonMari™ consultant. She has been coaching the method for almost two years and is now revealing her best decluttering tipps and hacks. Anika shares her personal and professional insights as an independent entrepreneur. You will learn about the connection between the physical und psychological power of tidying and its effects on body, mind and soul.

The event is free for all CoWomen members. Log in and sign up.

PS: Photos and videos are taken. If you don´t want to be seen we will make sure that you are not visible.",KonMari™ your life! Tidy up your life!,"Mit Magic Cleaning und ihrer einschlägigen Netflixserie wurde die Japanerin Marie Kondo weltbekannt.

Die Wirtschaftspsychologin Anika Schwertfeger ist Berlins erste offiziell zertifizierte KonMari™ Consultant. Sie coacht die Methode nun seit fast zwei Jahren und verrät Euch ihre besten Tipps & Tricks rund um die Themen Ordnung und Loslassen. Dabei teilt Anika ihre persönlichen und beruflichen Erfahrungen und Erkenntnisse als selbstständige Unternehmerin.

Ihr erfahrt, in welchem Zusammenhang die äußere und innere Ordnung stehen und wie ihr die Kraft des Aussortierens auch in anderen Lebensbereichen nutzen könnt.

Das Event ist kostenfrei für alle CoWomen-Mitglieder. Loggt euch ein und registriert euch.

PS: Es werden Fotos und Videoaufnahmen gemacht. Wenn ihr nicht zu sehen sein wollt, dann sorgen wir dafür, dass ihr nicht zu sehen seid.",Friday,17:00,19:00,https://www.facebook.com/events/656222511561283/,https://cowomen.com/blog/calendar/konmarie/,Yes
8/31/2019 13:53:46,St. Oberholz,Free Coworking,"No idea what coworking is and how good it feels? Come to St. Oberholz at Rosenthaler Platz on the 11.09., the place where everything we now know as Coworking started. As part of this year’s Berlin Coworking Festival we’re inviting the whole city to join us for a day. You don’t need an hour-ticket, a day-ticket, or even a membership. On this day, working from our Coworking Space is free!",Free Coworking,"Keine Ahnung, was Coworking ist und wie unbeschreiblich gut es sich anfühlt? Dann komme am 11.09. ins St. Oberholz am Rosenthaler Platz, dem Ort, wo einst das alles begann, was sich heute Coworking nennt. Im Rahmen des diesjährigen ""Berlin Coworking Festival"" laden wir an diesem Tag die ganze Stadt zu uns ein. Es ist kein Stundenticket notwendig, kein Tagesticket oder eine Mitgliedschaft. An diesem Tag kann man umsonst im Coworking-Bereich des St. Oberholz arbeiten!",Wednesday,8:00,18:00,https://www.facebook.com/events/399299540728234/,https://www.facebook.com/events/399299540728234/,No
